id;adr
100400000010044;" г.Первомайский, мкрн.1/2, д.11, магазин ""Пивна Фор"
100400000010074;" пгт.Золочев, ул.Центральная, 25, магазин ""Золочевский"""
100400000010105;" г.Харьков, ул.Москалевская, 39, павильон ""Продукты"
100410000000822; с.Марьянівка, вул.Центральна
100410000000836; с.Петрівці, вул.Шкільна(біля буд.4 та 6)
100430000002499; с. Клепачи ул перемоги
100430000002504; Хорол Ивана хмари 1а
100510000002949;" с. Попiвка, Онуфрiївський район, вулиця Молодiжна, 19-Б, магазин ""Околиця"""
100510000004437;" с. Захарiвка, Новоукраїнський район, вул. Озерна, 1, база вiдпочинку ""Скiфiя"" бар 2"
100520000003911; м. Миколаїв, вул. Привольна, 39/1
100520000003925;" с. Троїцько-Сафонове, вул. Леніна 12-Б (Вывеска ""Ремонт телефонов"")"
100690000003000;" с. Лісарня, 73/А, ""Вольногора"""
100760000007417; Павлоград, ул.Харьковская , 12
100870000010149; с. Латовка, вул. Дорожна 7-А,Одеський р-н.
100880000002490;" м.Білозір""я, вул.Смілянське шосе"
100890000001621; с.Дубова, вул.Соборна
100930000003631;" с. Ясна Поляня, Орiхiвський район, вулиця Ювiлейна, 15, магазин-бар ""Поляночка"""
100930000010825;" м.Запорiжжя, вулиця Шкiльна, 7, магазин ""Наш магазин"""
100930000010936;" м. Запорiжжя, вулиця, Будинок вiдпочинку 1, ""Профилакторий Запорожсталь"""
100930000011727; м.Запорiжжя, вулиця Братська, 45-Б, АЗС БРСМ
100930000012100;" с. Приморське, Василiвський район, вулиця Покровська, 217, магазин ""Юг"""
100930000012287;" м.Запорiжжя, вулиця Iсторична, 20, магазин ""Алкомаркет"""
100930000012370;" м.Запорiжжя, вулиця Академiка Чабаненка, 34, кафе ""BiBLiotheQue"""
100930000012397;" м.Запорiжжя, вулиця Бородинська, 7, магазин ""Веладiс"""
100930000012423;" м.Вiльнянськ, вулиця Миколи Сироти, 55, магазин ""Делвi"" №187"
100930000012448;" м.Запорiжжя, проспект Соборний, 192, магазин ""Штопор"""
100980000000991; с,Кудашево ул Левобережная14 турбазаЖемчужина
100980000002339;" Інгулецький р-н вул. Перемоги9а ""Віват"""
100980000002385;" Інгулецький р-н вул. Каткова, 1 ""Остро"""
100980000002445; АЗС Укрнафта м. Зеленодольск вул Єнергитична 19 А
100980000003104; Апостолівський район, с.Нива Трудова, вул. Українська, буд. 1А
101030000004990; с.Поліське, вул.Поліська, буд.1/а
101220000000038; м.К.Шевченковский, Коммунистическая, 12
101260000001174;" смт Чечельник, вул. Сонячна, 195 магазин ""Продукти"""
101260000001177;" с. Кинашів, вул. Першотравнева, 2 Е магазин-кафе ""Море пива"""
101510000002134; с.Яцковичі, вул.Центральна
101510000009929; с.Садки, вул.Шевченка, буд.34
101510000010387;" Костопільський р-н., с.Великий Мидськ, вул.Центральна,63, кафетерій ""Орхідея"""
101510000032633; с.Новоселівка, вул.1.Травня, буд.5
101530000000059; с.Миколаївка, вул.Леніна, буд.43а/1
101530000005393; м.Чернiгiв,ул.Шевченка,112а
101530000005395; м.Чернiгiв,ул.Гагаріна,63
101530000005397; м.Чернiгiв,ул.Любецька,42
101530000005399; м.Чернiгiв,ул.Інструментальна,6
101530000005401; м.Чернiгiв,ул.Миру пр-кт,284
101530000005411; м.Чернiгiв,ул.Пухова,101а
108660000010706; с.Люцерна ул.Запорожсталевская, 4
